Tag;Before;After;Darab
org;``;CC;1
time;CC;WDT;2
time;,;DT;1
org;RB;NNS;1
time;NNS;WDT;1
time;JJS;NNS;2
geo;VBP;MD;3
time;RP;,;1
time;NNP;$;1
geo;TO;``;2
org;PRP;CC;1
geo;CD;NNPS;3
geo;NN;CC;2
geo;NN;NNPS;1
time;DT;POS;1
geo;RBS;CC;1
org;CC;POS;4
org;POS;VBP;2
per;JJ;CC;1
geo;VBG;RB;1
org;VBD;CD;1
geo;NNS;CC;3
time;JJS;.;1
geo;VBG;NNS;3
gpe;VBN;VBG;1
time;IN;JJS;1
time;JJS;JJS;1
gpe;VBG;CC;2
per;WP;VBD;1
per;NN;VBP;2
time;JJ;LRB;1
org;RRB;,;1
time;VBG;NN;1
per;WRB;CC;1
geo;VBP;POS;5
event;JJ;IN;1
time;VBZ;RB;1
event;PRP$;NNP;1
event;IN;.;1
gpe;VBZ;IN;1
time;NNP;VBZ;4
time;RB;JJ;1
geo;JJ;POS;9
geo;RP;POS;1
gpe;DT;VBN;4
per;RBR;NNS;1
org;:;NNP;2
obj;.;VBD;2
time;CD;TO;1
time;VB;CD;1
geo;CC;LRB;1
time;TO;RRB;1
org;IN;VBG;2
time;CC;VBN;1
per;NN;,;2
time;NNS;PRP;1
time;VBN;DT;1
per;VBG;NNS;1
per;CC;NN;1
time;RB;CC;3
geo;IN;VB;3
org;VBG;IN;3
org;DT;DT;3
per;``;,;1
geo;PRP;POS;1
geo;DT;VBD;9
org;VBG;TO;3
geo;IN;VBN;2
time;JJ;JJ;7
gpe;RP;NNS;3
org;POS;.;1
per;VBN;TO;1
per;,;.;1
org;VBG;MD;1
per;VB;RB;1
geo;VBN;MD;1
geo;TO;VBN;1
time;DT;WRB;2
time;WP$;NN;1
org;JJ;LRB;1
org;DT;VB;2
geo;NNS;,;2
geo;,;NNPS;1
gpe;JJ;VBD;3
time;VBG;NNP;2
gpe;NN;IN;1
time;NNS;VBZ;2
org;.;VBP;1
org;VBZ;JJ;1
time;VB;NNP;2
org;VBZ;PRP;1
org;IN;RB;3
geo;CD;,;1
org;VBP;NNS;2
per;NN;DT;1
geo;NN;DT;3
org;VBN;,;2
time;JJ;MD;1
gpe;VBP;NN;1
time;NNS;VBG;3
gpe;JJR;NN;1
gpe;JJR;NNS;1
org;,;JJ;1
per;IN;VBD;3
org;CC;JJ;1
time;CD;NNPS;1
obj;VBG;IN;2
obj;VBG;NNS;1
geo;RB;NNP;4
gpe;VB;NNP;3
org;WDT;NN;1
time;POS;NNP;2
per;DT;VBZ;1
gpe;DT;``;1
geo;VB;``;1
org;VBD;.;1
geo;VB;RBR;1
geo;VBP;DT;1
time;:;NN;1
org;VBP;,;1
org;CD;VBZ;1
obj;.;NN;1
geo;POS;CC;1
per;DT;.;1
org;WRB;VBD;1
time;,;JJ;7
gpe;JJ;WP;2
per;,;CC;1
gpe;IN;VBN;2
org;TO;CC;2
gpe;JJ;DT;1
per;VBP;RB;1
org;IN;RBR;1
org;RP;,;2
gpe;TO;VBG;1
gpe;VB;VBG;1
time;NNP;POS;1
event;NNP;NNPS;1
event;NNP;VBP;1
time;DT;NNPS;2
event;CD;,;1
time;VBP;CD;1
event;.;NNP;2
event;NN;VBZ;2
gpe;POS;CC;1
gpe;VBZ;NNP;2
event;NNP;DT;2
time;LRB;NNP;1
org;CC;TO;3
geo;,;:;2
event;VBN;NNP;1
time;VBZ;NNS;1
time;VBN;JJ;2
time;DT;RBR;1
gpe;IN;WP;2
time;VBP;WRB;2
event;JJ;.;1
time;JJ;VBG;3
geo;.;VBN;1
per;``;IN;2
gpe;TO;JJ;2
gpe;.;MD;1
per;POS;NNPS;1
per;,;RB;1
event;VBZ;VBZ;1
time;RB;NNP;1
event;IN;VBZ;1
event;VBP;VBZ;1
gpe;POS;NNS;3
geo;NNPS;NNP;2
event;CC;CC;1
time;JJ;";";1
org;RB;RRB;2
geo;WRB;NNS;1
org;LRB;CC;1
org;CC;RRB;1
time;NNP;:;2
time;:;IN;2
geo;VBN;CC;1
gpe;RB;NN;2
per;CD;VBP;1
per;DT;VBD;1
time;VBD;CC;1
time;:;DT;1
org;CD;IN;1
per;NNP;VB;2
per;IN;RB;1
org;JJ;MD;1
time;NN;WRB;1
per;PRP$;NNP;1
per;CC;VBZ;2
geo;VB;JJ;1
org;VBP;VBZ;3
org;VBN;MD;1
per;VBD;,;2
geo;NN;NN;2
time;DT;RB;2
time;RB;VBZ;1
per;VBD;VBD;3
time;RB;VBD;3
geo;DT;VBG;3
geo;VBP;NNS;3
gpe;RP;NN;1
per;VB;TO;1
time;VBN;MD;1
geo;CC;RBR;1
geo;NNP;WRB;1
geo;RP;TO;1
time;TO;POS;1
time;TO;CD;3
org;IN;:;2
geo;.;MD;1
gpe;IN;WRB;1
obj;DT;MD;2
per;,;POS;2
time;PRP$;CC;1
time;VB;VBD;1
time;VBP;VBZ;1
obj;DT;RB;1
org;NN;MD;1
org;VBZ;.;1
org;POS;VBG;1
time;VBZ;NNP;1
gpe;CC;IN;2
gpe;NNPS;CC;1
geo;VBN;LRB;1
geo;RBR;RRB;1
org;NN;CC;1
per;CD;VBD;1
gpe;VBZ;VBP;1
gpe;CD;LRB;1
gpe;VBP;WP;1
gpe;WRB;VBP;1
event;VBD;VBD;1
event;.;POS;1
geo;POS;IN;2
geo;NNP;``;1
time;JJ;VBN;1
org;JJ;PRP;1
time;WP;NNS;1
event;VBD;,;1
geo;VB;$;1
event;NNPS;IN;1
time;VBG;NNS;2
time;VBZ;,;2
obj;JJ;VBN;1
geo;CC;WDT;1
gpe;TO;,;3
org;VBG;JJ;1
geo;VBD;,;3
geo;RP;NNP;2
org;VBZ;IN;3
org;TO;VBP;1
org;VBP;NN;1
per;TO;POS;1
time;,;VBD;2
org;NNS;.;1
obj;,;NNP;1
org;VBP;VBG;1
org;JJ;.;2
gpe;JJ;VBN;3
org;``;CD;1
org;VBD;DT;1
gpe;,;LRB;1
per;VBD;RRB;1
time;CC;:;1
geo;WDT;VBD;2
geo;JJ;:;1
per;NNP;PRP;1
gpe;DT;RB;1
time;CD;CC;3
org;POS;LRB;2
geo;VBG;JJ;1
time;NN;RB;1
obj;LRB;POS;1
obj;POS;RRB;1
per;RP;VBD;1
per;TO;VBZ;1
per;,;PRP;1
per;.;:;1
geo;,;JJ;1
gpe;CD;RB;1
time;JJR;.;1
geo;JJ;RB;1
obj;``;,;1
org;VBN;NNPS;1
org;NNP;WP;1
per;NNP;LRB;2
per;VBZ;VBD;2
geo;VBN;,;1
gpe;CC;MD;1
time;NNP;WDT;1
org;RP;POS;1
time;PRP;IN;1
per;VBN;NN;1
geo;WRB;MD;1
org;NNS;VBZ;1
org;NN;VBG;1
time;VB;.;2
time;NNP;MD;1
gpe;VBZ;MD;1
gpe;VBG;RB;1
org;DT;VBG;1
gpe;PRP$;CC;1
per;NN;CC;1
geo;VBD;``;1
geo;IN;PRP;1
per;POS;NN;3
gpe;VBN;JJ;2
geo;VBG;WP;1
per;VBD;TO;1
per;,;VBG;1
org;IN;WDT;2
per;VBD;MD;1
per;RB;,;1
gpe;``;NNP;1
time;RB;DT;1
geo;VB;VB;2
gpe;VBD;,;2
time;VBG;VBG;1
time;``;IN;1
org;JJ;WP;1
per;IN;``;2
geo;POS;JJ;1
geo;VBP;VBD;1
time;$;DT;1
time;CD;LRB;1
event;VBZ;NNP;1
per;.;JJ;1
org;CC;RB;1
time;.;JJ;1
geo;JJ;DT;1
per;NN;NNS;1
geo;JJ;WP;1
gpe;NN;VBP;1
geo;JJR;.;1
geo;NNP;VB;1
time;NNS;:;1
org;TO;TO;1
geo;TO;VBP;1
time;CD;VBZ;1
geo;WRB;VBD;1
per;IN;VBG;2
org;CD;NNPS;1
org;NNPS;VBZ;1
geo;``;NNPS;1
org;PRP$;.;1
event;NNS;IN;1
per;VBN;RB;1
time;IN;RBR;1
gpe;NN;CC;1
geo;POS;VBD;1
geo;WRB;CC;1
gpe;VBD;JJ;1
time;NNP;VBN;1
per;VBD;.;1
org;JJ;VBG;1
geo;VBD;VBG;1
time;NN;PRP;1
gpe;NNP;JJ;2
per;IN;LRB;1
per;IN;JJ;1
geo;TO;WRB;1
geo;JJ;WDT;1
org;WP;VBZ;1
gpe;NNP;TO;1
time;NNPS;,;1
time;JJ;WDT;1
org;CC;``;1
org;``;``;1
org;``;VBP;1
geo;JJS;NNP;1
gpe;DT;WRB;1
per;VBN;NNS;1
geo;VBZ;VB;1
per;PRP$;NNS;1
