;Sentence #;Word;POS;Tag
50216;;did;VBD;O
50217;;say;VB;O
50218;;that;IN;O
50219;;protecting;VBG;O
50220;;U.S.;NNP;B-geo
50221;;space;NN;O
50222;;systems;NNS;O
50223;;is;VBZ;O
50224;;something;DT;O
50225;;that;WDT;O
50226;;has;VBZ;O
50227;;to;TO;O
50228;;be;VB;O
50229;;considered;VBN;O
50230;;.;.;O
50231;Sentence: 2282;The;DT;O
50232;;Interfax;NNP;B-org
50233;;news;NN;O
50234;;agency;NN;O
50235;;also;RB;O
50236;;quotes;VBZ;O
50237;;Mr.;NNP;B-per
50238;;Ivanov;NNP;I-per
50239;;as;IN;O
50240;;saying;VBG;O
50241;;Moscow;NNP;B-geo
50242;;is;VBZ;O
50243;;prepared;VBN;O
50244;;to;TO;O
50245;;negotiate;VB;O
50246;;an;DT;O
50247;;agreement;NN;O
50248;;on;IN;O
50249;;controlling;VBG;O
50250;;tactical;JJ;O
50251;;nuclear;JJ;O
50252;;weapons;NNS;O
50253;;-;:;O
50254;;but;CC;O
50255;;only;RB;O
50256;;when;WRB;O
50257;;all;DT;O
50258;;countries;NNS;O
50259;;with;IN;O
50260;;such;JJ;O
50261;;weapons;NNS;O
50262;;keep;VBP;O
50263;;them;PRP;O
50264;;within;IN;O
50265;;their;PRP$;O
50266;;own;JJ;O
50267;;territories;NNS;O
50268;;.;.;O
50269;Sentence: 2283;The;DT;O
50270;;United;NNP;B-geo
50271;;States;NNPS;I-geo
50272;;has;VBZ;O
50273;;such;JJ;O
50274;;weapons;NNS;O
50275;;in;IN;O
50276;;Europe;NNP;B-geo
50277;;.;.;O
50278;Sentence: 2284;The;DT;O
50279;;Israeli;JJ;B-gpe
50280;;navy;NN;O
50281;;has;VBZ;O
50282;;ordered;VBN;O
50283;;a;DT;O
50284;;Libyan;JJ;B-gpe
50285;;ship;NN;O
50286;;carrying;VBG;O
50287;;humanitarian;JJ;O
50288;;aid;NN;O
50289;;to;TO;O
50290;;the;DT;O
50291;;Gaza;NNP;B-geo
50292;;Strip;NNP;I-geo
50293;;to;TO;O
50294;;turn;VB;O
50295;;back;RP;O
50296;;.;.;O
50297;Sentence: 2285;Officials;NNS;O
50298;;say;VBP;O
50299;;the;DT;O
50300;;ship;NN;O
50301;;,;,;O
50302;;the;DT;O
50303;;Al;NNP;B-org
50304;;Marwa;NNP;I-org
50305;;,;,;O
50306;;was;VBD;O
50307;;carrying;VBG;O
50308;;some;DT;O
50309;;3;CD;O
50310;;tons;NNS;O
50311;;of;IN;O
50312;;aid;NN;O
50313;;when;WRB;O
50314;;it;PRP;O
50315;;was;VBD;O
50316;;stopped;VBN;O
50317;;by;IN;O
50318;;the;DT;O
50319;;Israeli;JJ;B-gpe
50320;;navy;NN;O
50321;;.;.;O
50322;Sentence: 2286;Israel;NNP;B-geo
50323;;says;VBZ;O
50324;;there;EX;O
50325;;was;VBD;O
50326;;no;DT;O
50327;;physical;JJ;O
50328;;confrontation;NN;O
50329;;when;WRB;O
50330;;it;PRP;O
50331;;ordered;VBD;O
50332;;the;DT;O
50333;;ship;NN;O
50334;;to;TO;O
50335;;turn;VB;O
50336;;around;RP;O
50337;;.;.;O
50338;Sentence: 2287;Palestinian;JJ;B-gpe
50339;;officials;NNS;O
50340;;say;VBP;O
50341;;the;DT;O
50342;;ship;NN;O
50343;;is;VBZ;O
50344;;now;RB;O
50345;;sailing;VBG;O
50346;;to;TO;O
50347;;the;DT;O
50348;;Egyptian;JJ;B-gpe
50349;;port;NN;O
50350;;of;IN;O
50351;;El-Arish;JJ;O
50352;;.;.;O
50353;Sentence: 2288;Gaza;NNP;B-geo
50354;;'s;POS;O
50355;;borders;NNS;O
50356;;have;VBP;O
50357;;been;VBN;O
50358;;largely;RB;O
50359;;sealed;VBN;O
50360;;by;IN;O
50361;;Israel;NNP;B-geo
50362;;and;CC;O
50363;;Egypt;NNP;B-geo
50364;;following;VBG;O
50365;;a;DT;O
50366;;violent;JJ;O
50367;;takeover;NN;O
50368;;by;IN;O
50369;;the;DT;O
50370;;militant;JJ;O
50371;;Hamas;NNP;B-org
50372;;last;JJ;O
50373;;year;NN;O
50374;;.;.;O
50375;Sentence: 2289;The;DT;O
50376;;blockade;NN;O
50377;;has;VBZ;O
50378;;been;VBN;O
50379;;stepped;VBN;O
50380;;up;RP;O
50381;;in;IN;O
50382;;recent;JJ;O
50383;;weeks;NNS;O
50384;;due;JJ;O
50385;;to;TO;O
50386;;a;DT;O
50387;;surge;NN;O
50388;;in;IN;O
50389;;border;NN;O
50390;;clashes;NNS;O
50391;;between;IN;O
50392;;the;DT;O
50393;;Israeli;JJ;B-gpe
50394;;military;JJ;O
50395;;and;CC;O
50396;;Palestinian;JJ;B-gpe
50397;;militants;NNS;O
50398;;.;.;O
50399;Sentence: 2290;The;DT;O
50400;;regional;JJ;O
50401;;government;NN;O
50402;;in;IN;O
50403;;Iraq;NNP;B-geo
50404;;'s;POS;O
50405;;Kurdish;NNP;B-geo
50406;;region;NN;O
50407;;has;VBZ;O
50408;;signed;VBN;O
50409;;seven;CD;O
50410;;new;JJ;O
50411;;foreign;JJ;O
50412;;oil;NN;O
50413;;deals;NNS;O
50414;;.;.;O
50415;Sentence: 2291;The;DT;O
50416;;Kurdish;NNP;B-org
50417;;Regional;NNP;I-org
50418;;Government;NNP;I-org
50419;;said;VBD;O
50420;;in;IN;O
50421;;a;DT;O
50422;;statement;NN;O
50423;;on;IN;O
50424;;its;PRP$;O
50425;;Web;NNP;O
50426;;site;NN;O
50427;;Tuesday;NNP;B-time
50428;;all;DT;O
50429;;revenues;NNS;O
50430;;from;IN;O
50431;;petroleum;NN;O
50432;;activities;NNS;O
50433;;in;IN;O
50434;;the;DT;B-geo
50435;;Kurdish;NNP;I-geo
50436;;region;NN;O
50437;;will;MD;O
50438;;be;VB;O
50439;;shared;VBN;O
50440;;proportionately;RB;O
50441;;throughout;IN;O
50442;;Iraq;NNP;B-geo
50443;;under;IN;O
50444;;Iraqi;JJ;B-gpe
50445;;law;NN;O
50446;;.;.;O
50447;Sentence: 2292;The;DT;O
50448;;government;NN;O
50449;;in;IN;O
50450;;the;DT;B-geo
50451;;Kurdish;JJ;I-geo
50452;;region;NN;O
50453;;of;IN;O
50454;;northern;JJ;O
50455;;Iraq;NNP;B-geo
50456;;has;VBZ;O
50457;;approved;VBN;O
50458;;its;PRP$;O
50459;;own;JJ;O
50460;;law;NN;O
50461;;governing;VBG;O
50462;;the;DT;O
50463;;oil;NN;O
50464;;industry;NN;O
50465;;,;,;O
50466;;while;IN;O
50467;;the;DT;O
50468;;Iraqi;JJ;B-gpe
50469;;national;JJ;O
50470;;parliament;NN;O
50471;;is;VBZ;O
50472;;still;RB;O
50473;;working;VBG;O
50474;;on;IN;O
50475;;a;DT;O
50476;;hydrocarbon;NN;O
50477;;law;NN;O
50478;;that;WDT;O
50479;;would;MD;O
50480;;regulate;VB;O
50481;;the;DT;O
50482;;industry;NN;O
50483;;throughout;IN;O
50484;;the;DT;O
50485;;country;NN;O
50486;;.;.;O
50487;Sentence: 2293;Iraqi;JJ;B-gpe
50488;;oil;NN;O
50489;;minister;NN;O
50490;;Hussein;NNP;B-per
50491;;al-Shahristani;NNP;I-per
50492;;had;VBD;O
50493;;declared;VBN;O
50494;;as;IN;O
50495;;"""";``;O
50496;;illegal;JJ;O
50497;;"""";``;O
50498;;a;DT;O
50499;;previous;JJ;O
50500;;agreement;NN;O
50501;;between;IN;O
50502;;the;DT;B-geo
50503;;Kurdish;JJ;I-geo
50504;;regional;JJ;O
50505;;government;NN;O
50506;;and;CC;O
50507;;a;DT;O
50508;;foreign;JJ;O
50509;;oil;NN;O
50510;;company;NN;O
50511;;,;,;O
50512;;Hunt;NNP;B-org
50513;;Oil;NNP;I-org
50514;;.;.;O
50515;Sentence: 2294;The;DT;O
50516;;Kurdish;JJ;O
50517;;regional;JJ;O
50518;;government;NN;O
50519;;said;VBD;O
50520;;the;DT;O
50521;;new;JJ;O
50522;;contracts;NNS;O
50523;;are;VBP;O
50524;;for;IN;O
50525;;the;DT;O
50526;;Mala;NNP;B-geo
50527;;Omar;NNP;I-geo
50528;;and;CC;O
50529;;Shorish;NNP;B-geo
50530;;Blocks;NNPS;I-geo
50531;;,;,;O
50532;;the;DT;B-geo
50533;;Akre-Bijeel;NNP;I-geo
50534;;Block;NNP;I-geo
50535;;,;,;O
50536;;the;DT;B-geo
50537;;Shaikan;NNP;I-geo
50538;;Block;NNP;I-geo
50539;;,;,;O
50540;;the;DT;B-geo
50541;;Rovi;NNP;I-geo
50542;;and;CC;O
50543;;Sarta;NNP;B-geo
50544;;Blocks;NNPS;I-geo
50545;;,;,;O
50546;;and;CC;O
50547;;a;DT;O
50548;;block;NN;O
50549;;in;IN;O
50550;;Dihok;NNP;B-geo
50551;;province;NN;O
50552;;.;.;O
50553;Sentence: 2295;Iraq;NNP;B-geo
50554;;'s;POS;O
50555;;Shi'ite;NNP;O
50556;;politicians;NNS;O
50557;;have;VBP;O
50558;;postponed;VBN;O
50559;;until;IN;O
50560;;Sunday;NNP;B-time
50561;;a;DT;O
50562;;decision;NN;O
50563;;to;TO;O
50564;;select;VB;O
50565;;a;DT;O
50566;;new;JJ;O
50567;;prime;JJ;O
50568;;minister;NN;O
50569;;.;.;O
50570;Sentence: 2296;The;DT;O
50571;;United;NNP;B-org
50572;;Iraqi;JJ;B-gpe
50573;;Alliance;NNP;B-org
50574;;met;VBD;O
50575;;Saturday;NNP;B-time
50576;;,;,;O
50577;;to;TO;O
50578;;choose;VB;O
50579;;between;IN;O
50580;;two;CD;O
50581;;contenders;NNS;O
50582;;-;IN;O
50583;;Prime;NNP;B-per
50584;;Minister;NNP;O
50585;;Ibrahim;NNP;B-per
50586;;al-Jaafari;NNP;I-per
50587;;and;CC;O
50588;;Vice;NNP;O
50589;;President;NNP;B-per
50590;;Adel;NNP;I-per
50591;;Abdul-Mahdi;NNP;I-per
50592;;.;.;O
50593;Sentence: 2297;Each;DT;O
50594;;is;VBZ;O
50595;;supported;VBN;O
50596;;by;IN;O
50597;;two;CD;O
50598;;major;JJ;O
50599;;factions;NNS;O
50600;;in;IN;O
50601;;the;DT;O
50602;;Shi'ite;NNP;O
50603;;alliance;NN;O
50604;;.;.;O
50605;Sentence: 2298;But;CC;O
50606;;Shi'ite;NNP;O
50607;;sources;NNS;O
50608;;say;VBP;O
50609;;followers;NNS;O
50610;;of;IN;O
50611;;radical;JJ;O
50612;;Shi'ite;NNP;O
50613;;cleric;NN;O
50614;;Moqtada;NNP;B-per
50615;;al-Sadr;NNP;I-per
50616;;wanted;VBD;O
50617;;more;JJR;O
50618;;time;NN;O
50619;;to;TO;O
50620;;discuss;VB;O
50621;;the;DT;O
50622;;candidates;NNS;O
50623;;.;.;O
50624;Sentence: 2299;Iraq;NNP;B-geo
50625;;'s;POS;O
50626;;Shi'ite;NNP;O
50627;;alliance;NN;O
50628;;won;VBD;O
50629;;the;DT;O
50630;;largest;JJS;O
50631;;number;NN;O
50632;;of;IN;O
50633;;parliament;NN;O
50634;;seats;NNS;O
50635;;in;IN;O
50636;;the;DT;O
50637;;nation;NN;O
50638;;'s;POS;O
50639;;December;NNP;B-time
50640;;15th;CD;I-time
50641;;election;NN;I-time
50642;;.;.;O
50643;Sentence: 2300;Under;IN;O
50644;;Iraq;NNP;B-geo
50645;;'s;POS;O
50646;;constitution;NN;O
50647;;,;,;O
50648;;the;DT;O
50649;;new;JJ;O
50650;;parliament;NN;O
50651;;should;MD;O
50652;;convene;VB;O
50653;;within;IN;O
50654;;the;DT;O
50655;;next;JJ;O
50656;;two;CD;B-time
50657;;weeks;NNS;O
50658;;.;.;O
50659;Sentence: 2301;Separately;RB;O
50660;;,;,;O
50661;;Kuwait;NNP;B-org
50662;;'s;POS;O
50663;;al-Rai;NNP;B-org
50664;;television;NN;O
50665;;station;NN;O
50666;;says;VBZ;O
50667;;the;DT;O
50668;;kidnappers;NNS;O
50669;;in;IN;O
50670;;Iraq;NNP;B-geo
50671;;of;IN;O
50672;;American;JJ;B-gpe
50673;;journalist;NN;O
50674;;Jill;NNP;B-per
50675;;Carroll;NNP;I-per
50676;;are;VBP;O
50677;;threatening;VBG;O
50678;;to;TO;O
50679;;kill;VB;O
50680;;her;PRP;O
50681;;if;IN;O
50682;;their;PRP$;O
50683;;demands;NNS;O
50684;;are;VBP;O
50685;;not;RB;O
50686;;met;VBN;O
50687;;by;IN;O
50688;;February;NNP;B-time
50689;;26;CD;I-time
50690;;.;.;O
50691;Sentence: 2302;The;DT;O
50692;;militants;NNS;O
50693;;previously;RB;O
50694;;had;VBD;O
50695;;demanded;VBN;O
50696;;that;IN;O
50697;;all;DT;O
50698;;Iraqi;JJ;B-gpe
50699;;women;NNS;O
50700;;prisoners;NNS;O
50701;;be;VB;O
50702;;freed;VBN;O
50703;;.;.;O
50704;Sentence: 2303;The;DT;O
50705;;Sri;NNP;B-org
50706;;Lankan;NNP;I-org
50707;;navy;NN;I-org
50708;;says;VBZ;O
50709;;it;PRP;O
50710;;has;VBZ;O
50711;;arrested;VBN;O
50712;;five;CD;O
50713;;Indian;JJ;B-gpe
50714;;nationals;NNS;O
50715;;and;CC;O
50716;;confiscated;VBD;O
50717;;their;PRP$;O
50718;;trawler;NN;O
50719;;carrying;VBG;O
50720;;61;CD;O
50721;;bomb;NN;O
50722;;detonators;NNS;O
50723;;.;.;O
50724;Sentence: 2304;A;DT;O
50725;;navy;NN;B-org
50726;;spokesman;NN;O
50727;;said;VBD;O
50728;;the;DT;O
50729;;five;CD;O
50730;;men;NNS;O
50731;;were;VBD;O
50732;;detained;VBN;O
50733;;late;RB;O
50734;;Wednesday;NNP;B-time
50735;;off;IN;O
50736;;the;DT;O
50737;;island;NN;O
50738;;'s;POS;O
50739;;northern;JJ;O
50740;;coast;NN;O
50741;;,;,;O
50742;;an;DT;O
50743;;area;NN;O
50744;;under;IN;O
50745;;Tamil;NNP;B-geo
50746;;Tiger;NNP;I-geo
50747;;rebel;NN;O
50748;;control;NN;O
50749;;,;,;O
50750;;and;CC;O
50751;;were;VBD;O
50752;;handed;VBN;O
50753;;over;IN;O
50754;;to;TO;O
50755;;police;NNS;O
50756;;.;.;O
50757;Sentence: 2305;He;PRP;O
50758;;said;VBD;O
50759;;authorities;NNS;O
50760;;are;VBP;O
50761;;trying;VBG;O
50762;;to;TO;O
50763;;determine;VB;O
50764;;if;IN;O
50765;;the;DT;O
50766;;shipment;NN;O
50767;;was;VBD;O
50768;;meant;VBN;O
50769;;for;IN;O
50770;;the;DT;O
50771;;rebels;NNS;O
50772;;.;.;O
50773;Sentence: 2306;The;DT;O
50774;;seizure;NN;O
50775;;came;VBD;O
50776;;hours;NNS;O
50777;;after;IN;O
50778;;the;DT;O
50779;;government;NN;O
50780;;and;CC;O
50781;;the;DT;O
50782;;rebels;NNS;O
50783;;agreed;VBD;O
50784;;to;TO;O
50785;;hold;VB;O
50786;;a;DT;O
50787;;new;JJ;O
50788;;round;NN;O
50789;;of;IN;O
50790;;peace;NN;O
50791;;talks;NNS;O
50792;;in;IN;O
50793;;Switzerland;NNP;B-geo
50794;;,;,;O
50795;;easing;VBG;O
50796;;fears;NNS;O
50797;;that;IN;O
50798;;the;DT;O
50799;;country;NN;O
50800;;may;MD;O
50801;;slide;VB;O
50802;;back;RB;O
50803;;into;IN;O
50804;;full-scale;JJ;O
50805;;civil;JJ;O
50806;;war;NN;O
50807;;.;.;O
50808;Sentence: 2307;Meanwhile;RB;O
50809;;,;,;O
50810;;Sri;NNP;B-org
50811;;Lanka;NNP;I-org
50812;;'s;POS;O
50813;;stock;NN;O
50814;;market;NN;O
50815;;staged;VBD;O
50816;;a;DT;O
50817;;major;JJ;O
50818;;rally;NN;O
50819;;Thursday;NNP;B-time
50820;;as;IN;O
50821;;investors;NNS;O
50822;;cheered;VBD;O
50823;;the;DT;O
50824;;agreement;NN;O
50825;;between;IN;O
50826;;Colombo;NNP;B-geo
50827;;and;CC;O
50828;;the;DT;O
50829;;rebels;NNS;O
50830;;.;.;O
50831;Sentence: 2308;Tamil;NNP;B-geo
50832;;rebels;NNS;O
50833;;also;RB;O
50834;;released;VBD;O
50835;;a;DT;O
50836;;Sri;NNP;B-org
50837;;Lankan;NNP;I-org
50838;;policeman;NN;O
50839;;in;IN;O
50840;;what;WP;O
50841;;they;PRP;O
50842;;call;VBP;O
50843;;a;DT;O
50844;;goodwill;NN;O
50845;;gesture;NN;O
50846;;,;,;O
50847;;four;CD;O
50848;;months;NNS;O
50849;;after;IN;O
50850;;capturing;VBG;O
50851;;him;PRP;O
50852;;when;WRB;O
50853;;he;PRP;O
50854;;strayed;VBD;O
50855;;into;IN;O
50856;;rebel;JJ;O
50857;;territory;NN;O
50858;;.;.;O
50859;Sentence: 2309;Greek;JJ;B-gpe
50860;;officials;NNS;O
50861;;say;VBP;O
50862;;a;DT;O
50863;;moderate;JJ;O
50864;;earthquake;NN;O
50865;;has;VBZ;O
50866;;struck;VBN;O
50867;;off;RP;O
50868;;the;DT;O
50869;;coast;NN;O
50870;;of;IN;O
50871;;some;DT;O
50872;;of;IN;O
50873;;the;DT;O
50874;;country;NN;O
50875;;'s;POS;O
50876;;islands;NNS;O
50877;;in;IN;O
50878;;the;DT;O
50879;;Aegean;NNP;B-geo
50880;;Sea;NNP;I-geo
50881;;.;.;O
50882;Sentence: 2310;The;DT;O
50883;;Athens;NNP;B-org
50884;;Geodynamic;NNP;I-org
50885;;Institute;NNP;I-org
50886;;says;VBZ;O
50887;;Friday;NNP;B-time
50888;;'s;POS;O
50889;;magnitude;NN;O
50890;;42856;CD;O
50891;;quake;NN;O
50892;;was;VBD;O
50893;;centered;VBN;O
50894;;near;IN;O
50895;;the;DT;O
50896;;eastern;JJ;O
50897;;islands;NNS;O
50898;;of;IN;O
50899;;Kos;NNP;B-geo
50900;;and;CC;O
50901;;Astypaleia;NNP;B-geo
50902;;,;,;O
50903;;about;IN;O
50904;;300;CD;O
50905;;kilometers;NNS;O
50906;;from;IN;O
50907;;the;DT;O
50908;;Greek;JJ;B-gpe
50909;;capital;NN;O
50910;;.;.;O
50911;Sentence: 2311;There;EX;O
50912;;were;VBD;O
50913;;no;DT;O
50914;;immediate;JJ;O
50915;;reports;NNS;O
50916;;of;IN;O
50917;;damage;NN;O
50918;;or;CC;O
50919;;injuries;NNS;O
50920;;.;.;O
50921;Sentence: 2312;Iranian;JJ;B-gpe
50922;;state;NN;O
50923;;television;NN;O
50924;;says;VBZ;O
50925;;the;DT;O
50926;;country;NN;O
50927;;'s;POS;O
50928;;Revolutionary;JJ;B-org
50929;;Guards;NNS;I-org
50930;;have;VBP;O
50931;;test-fired;VBN;O
50932;;several;JJ;O
50933;;long-range;JJ;O
50934;;missiles;NNS;O
50935;;with;IN;O
50936;;the;DT;O
50937;;capability;NN;O
50938;;of;IN;O
50939;;carrying;VBG;O
50940;;cluster;NN;O
50941;;bombs;NNS;O
50942;;.;.;O
50943;Sentence: 2313;The;DT;O
50944;;state-owned;JJ;O
50945;;Al-Alam;NNP;O
50946;;network;NN;O
50947;;says;VBZ;O
50948;;the;DT;O
50949;;missiles;NNS;O
50950;;were;VBD;O
50951;;launched;VBN;O
50952;;Thursday;NNP;B-time
50953;;from;IN;O
50954;;a;DT;O
50955;;desert;NN;O
50956;;site;NN;O
50957;;near;IN;O
50958;;the;DT;O
50959;;central;JJ;O
50960;;Iranian;JJ;B-gpe
50961;;town;NN;O
50962;;of;IN;O
50963;;Qom;NNP;B-org
50964;;.;.;O
50965;Sentence: 2314;The;DT;O
50966;;tests;NNS;O
50967;;mark;VBP;O
50968;;the;DT;O
50969;;beginning;NN;O
50970;;of;IN;O
50971;;a;DT;O
50972;;10-day;JJ;B-time
50973;;Iranian;JJ;B-gpe
50974;;military;JJ;O
50975;;exercise;NN;O
50976;;that;WDT;O
50977;;will;MD;O
50978;;also;RB;O
50979;;include;VB;O
50980;;drills;NNS;O
50981;;in;IN;O
50982;;the;DT;O
50983;;Persian;NNP;B-geo
50984;;Gulf;NNP;I-geo
50985;;and;CC;O
50986;;Sea;NNP;B-geo
50987;;of;IN;I-geo
50988;;Oman;NNP;I-geo
50989;;.;.;O
50990;Sentence: 2315;The;DT;O
50991;;Iranian;JJ;B-gpe
50992;;report;NN;O
50993;;says;VBZ;O
50994;;the;DT;O
50995;;missile;NN;O
50996;;tests;NNS;O
50997;;involve;VBP;O
50998;;the;DT;O
50999;;Shahab-3;JJ;O
51000;;missile;NN;O
51001;;,;,;O
51002;;which;WDT;O
51003;;has;VBZ;O
51004;;a;DT;O
51005;;range;NN;O
51006;;of;IN;O
51007;;up;IN;O
51008;;to;TO;O
51009;;2;CD;O
51010;;kilometers;NNS;O
51011;;.;.;O
51012;Sentence: 2316;The;DT;O
51013;;Revolutionary;JJ;B-org
51014;;Guards;NNS;I-org
51015;;are;VBP;O
51016;;the;DT;O
51017;;ideological;JJ;O
51018;;wing;NN;O
51019;;of;IN;O
51020;;the;DT;O
51021;;Iranian;JJ;B-gpe
51022;;armed;JJ;O
51023;;forces;NNS;O
51024;;,;,;O
51025;;and;CC;O
51026;;have;VBP;O
51027;;a;DT;O
51028;;separate;JJ;O
51029;;command;NN;O
51030;;structure;NN;O
51031;;from;IN;O
51032;;the;DT;O
51033;;regular;JJ;O
51034;;army;NN;O
51035;;.;.;O
51036;Sentence: 2317;Iran;NNP;B-geo
51037;;is;VBZ;O
51038;;conducting;VBG;O
51039;;military;JJ;O
51040;;maneuvers;NNS;O
51041;;after;IN;O
51042;;United;NNP;B-geo
51043;;States;NNPS;I-geo
51044;;held;VBD;O
51045;;naval;JJ;O
51046;;exercises;NNS;O
51047;;in;IN;O
51048;;the;DT;O
51049;;Persian;NNP;B-geo
51050;;Gulf;NNP;I-geo
51051;;earlier;RBR;O
51052;;this;DT;O
51053;;week;NN;O
51054;;.;.;O
51055;Sentence: 2318;The;DT;O
51056;;U.S.-led;JJ;O
51057;;drills;NNS;O
51058;;involved;VBN;O
51059;;25;CD;O
51060;;nations;NNS;O
51061;;and;CC;O
51062;;were;VBD;O
51063;;aimed;VBN;O
51064;;at;IN;O
51065;;training;NN;O
51066;;forces;NNS;O
51067;;to;TO;O
51068;;block;VB;O
51069;;the;DT;O
51070;;transport;NN;O
51071;;of;IN;O
51072;;weapons;NNS;O
51073;;of;IN;O
51074;;mass;NN;O
51075;;destruction;NN;O
51076;;.;.;O
51077;Sentence: 2319;Russia;NNP;B-gpe
51078;;is;VBZ;O
51079;;defending;VBG;O
51080;;its;PRP$;O
51081;;plans;NNS;O
51082;;to;TO;O
51083;;sell;VB;O
51084;;Venezuela;NNP;B-geo
51085;;assault;NN;O
51086;;rifles;NNS;O
51087;;and;CC;O
51088;;helicopters;NNS;O
51089;;.;.;O
51090;Sentence: 2320;Russian;JJ;B-gpe
51091;;Foreign;NNP;B-per
51092;;Minister;NNP;I-per
51093;;Sergei;NNP;I-per
51094;;Lavrov;NNP;I-per
51095;;dismissed;VBD;O
51096;;concerns;NNS;O
51097;;expressed;VBN;O
51098;;by;IN;O
51099;;the;DT;O
51100;;United;NNP;B-gpe
51101;;States;NNPS;I-gpe
51102;;that;IN;O
51103;;the;DT;O
51104;;guns;NNS;O
51105;;and;CC;O
51106;;aircraft;NN;O
51107;;could;MD;O
51108;;fall;VB;O
51109;;into;IN;O
51110;;the;DT;O
51111;;hands;NNS;O
51112;;of;IN;O
51113;;leftist;JJ;O
51114;;rebels;NNS;O
51115;;in;IN;O
51116;;Colombia;NNP;B-geo
51117;;.;.;O
51118;Sentence: 2321;Mr.;NNP;B-per
51119;;Lavrov;NNP;I-per
51120;;said;VBD;O
51121;;the;DT;O
51122;;arms;NNS;O
51123;;deal;NN;O
51124;;is;VBZ;O
51125;;a;DT;O
51126;;bilateral;JJ;O
51127;;issue;NN;O
51128;;in;IN;O
51129;;line;NN;O
51130;;with;IN;O
51131;;international;JJ;O
51132;;law;NN;O
51133;;.;.;O
51134;Sentence: 2322;U.S.;NNP;B-geo
51135;;officials;NNS;O
51136;;fear;VBP;O
51137;;Venezuelan;JJ;B-gpe
51138;;President;NNP;B-per
51139;;Hugo;NNP;I-per
51140;;Chavez;NNP;I-per
51141;;,;,;O
51142;;who;WP;O
51143;;has;VBZ;O
51144;;strained;VBN;O
51145;;relations;NNS;O
51146;;with;IN;O
51147;;Washington;NNP;B-gpe
51148;;,;,;O
51149;;could;MD;O
51150;;export;VB;O
51151;;small;JJ;O
51152;;arms;NNS;O
51153;;to;TO;O
51154;;rebel;JJ;O
51155;;movements;NNS;O
51156;;,;,;O
51157;;including;VBG;O
51158;;rebel;NN;O
51159;;groups;NNS;O
51160;;in;IN;O
51161;;neighboring;VBG;O
51162;;Colombia;NNP;B-geo
51163;;.;.;O
51164;Sentence: 2323;A;DT;O
51165;;State;NNP;B-org
51166;;Department;NNP;I-org
51167;;spokesman;NN;O
51168;;says;VBZ;O
51169;;the;DT;O
51170;;United;NNP;B-geo
51171;;States;NNPS;I-geo
51172;;has;VBZ;O
51173;;raised;VBN;O
51174;;the;DT;O
51175;;issue;NN;O
51176;;with;IN;O
51177;;Russia;NNP;B-gpe
51178;;on;IN;O
51179;;several;JJ;O
51180;;occasions;NNS;O
51181;;.;.;O
51182;Sentence: 2324;Earlier;RBR;O
51183;;this;DT;O
51184;;week;NN;O
51185;;,;,;O
51186;;Venezuelan;JJ;B-gpe
51187;;Vice;NNP;B-per
51188;;President;NNP;I-per
51189;;Jose;NNP;I-per
51190;;Rangel;NNP;I-per
51191;;said;VBD;O
51192;;his;PRP$;O
51193;;country;NN;O
51194;;is;VBZ;O
51195;;buying;VBG;O
51196;;the;DT;O
51197;;weapons;NNS;O
51198;;to;TO;O
51199;;strengthen;VB;O
51200;;its;PRP$;O
51201;;national;JJ;O
51202;;security;NN;O
51203;;and;CC;O
51204;;that;IN;O
51205;;the;DT;O
51206;;purchase;NN;O
51207;;should;MD;O
51208;;not;RB;O
51209;;concern;VB;O
51210;;Washington;NNP;B-gpe
51211;;.;.;O
51212;Sentence: 2325;Security;NN;O
51213;;is;VBZ;O
51214;;tight;JJ;O
51215;;in;IN;O
51216;;the;DT;O
51217;;Afghan;JJ;B-gpe
51218;;capital;NN;O
51219;;,;,;O
51220;;Kabul;NNP;B-per
51221;;,;,;O
51222;;on;IN;O
51223;;the;DT;O
51224;;eve;NN;O
51225;;of;IN;O
51226;;the;DT;O
51227;;inauguration;NN;O
51228;;of;IN;O
51229;;the;DT;O
51230;;country;NN;O
51231;;'s;POS;O
51232;;first;JJ;O
51233;;parliament;NN;O
51234;;in;IN;O
51235;;more;JJR;O
51236;;than;IN;O
51237;;30;CD;B-time
51238;;years;NNS;O
51239;;.;.;O
51240;Sentence: 2326;Police;NNS;O
51241;;and;CC;O
51242;;troops;NNS;O
51243;;were;VBD;O
51244;;deployed;VBN;O
51245;;days;NNS;O
51246;;ahead;RB;O
51247;;of;IN;O
51248;;the;DT;O
51249;;Monday;NNP;B-time
51250;;ceremony;NN;O
51251;;,;,;O
51252;;during;IN;O
51253;;which;WDT;O
51254;;351;CD;O
51255;;new;JJ;O
51256;;lawmakers;NNS;O
51257;;will;MD;O
51258;;be;VB;O
51259;;sworn;VBN;O
51260;;in;IN;O
51261;;by;IN;O
51262;;President;NNP;B-per
51263;;Hamid;NNP;I-per
51264;;Karzai;NNP;I-per
51265;;.;.;O
51266;Sentence: 2327;The;DT;O
51267;;event;NN;O
51268;;will;MD;O
51269;;be;VB;O
51270;;attended;VBN;O
51271;;by;IN;O
51272;;many;JJ;O
51273;;foreign;JJ;O
51274;;dignitaries;NNS;O
51275;;,;,;O
51276;;including;VBG;O
51277;;U.S.;NNP;B-org
51278;;Vice;NNP;B-per
